partition function logs (1/cm^3, relative to the ground level) and their derivatives:
    T\Q           W1        first       second        CH3OO        first       second          CH4        first       second       CH3OOH        first       second          CH3        first       second
    200      77.6093    0.0392307 -0.000138312      70.2782    0.0183671 -7.37184e-05      61.7829    0.0150106 -7.45827e-05      71.0169    0.0208052 -7.87122e-05      62.5556    0.0155204 -7.05256e-05
    300      80.9832    0.0293832 -6.89349e-05      71.8381     0.013519 -3.12796e-05      63.0049    0.0101296 -3.13109e-05      72.8008     0.015596 -3.40538e-05      63.8426    0.0108577 -3.08631e-05
    400      83.6367    0.0241808 -3.89902e-05      73.0646    0.0112562  -1.6274e-05      63.8932   0.00789214 -1.57117e-05      74.2224    0.0130932 -1.83906e-05      64.8019    0.0085529 -1.71987e-05
    500      85.8877    0.0210725 -2.48245e-05      74.1214   0.00998235 -1.00415e-05      64.6174   0.00670409 -8.91719e-06       75.453    0.0116275 -1.17808e-05      65.5834   0.00718118  -1.0947e-05
    600      87.8849    0.0189935  -1.7489e-05      75.0752   0.00914105 -7.11625e-06      65.2496   0.00599439  -5.6455e-06      76.5631    0.0106274 -8.56477e-06      66.2532   0.00626913 -7.60547e-06
    700      89.7047    0.0174723  -1.3288e-05      75.9567   0.00851514 -5.54548e-06      65.8241   0.00552454 -3.92172e-06      77.5864   0.00986888 -6.75599e-06      66.8458   0.00561602  -5.6127e-06
    800      91.3904    0.0162846  -1.0652e-05      76.7822   0.00801197 -4.58727e-06      66.3588   0.00518583 -2.93794e-06      78.5416   0.00925474 -5.60276e-06      67.3817   0.00512332  -4.3282e-06
    900      92.9688    0.0153137 -8.87263e-06      77.5617   0.00758751 -3.93933e-06      66.8639   0.00492434 -2.33822e-06      79.4406   0.00873694 -4.79626e-06       67.874   0.00473684 -3.45422e-06
   1000      94.4581    0.0144933 -7.60158e-06      78.3016   0.00721833 -3.46651e-06      67.3453   0.00471115 -1.95212e-06      80.2913   0.00828871 -4.19527e-06      68.3315   0.00442403 -2.83575e-06
   1100      95.8711    0.0137828 -6.65202e-06      79.0067   0.00689063 -3.10189e-06      67.8071   0.00452978 -1.69124e-06      81.1001   0.00789349 -3.72727e-06      68.7605   0.00416416 -2.38426e-06
   1200      97.2174    0.0131559  -5.9161e-06      79.6808   0.00659558 -2.80905e-06       68.252   0.00437038 -1.50666e-06      81.8714   0.00754022  -3.3509e-06      69.1656   0.00394343  -2.0457e-06
   1300      98.5045    0.0125947 -5.32794e-06      80.3267   0.00632716 -2.56652e-06      68.6817   0.00422687 -1.37004e-06      82.6092   0.00722111 -3.04059e-06      69.5502   0.00375242 -1.78557e-06
   1400      99.7382    0.0120868  -4.8455e-06       80.947   0.00608105 -2.36089e-06      69.0978   0.00409535 -1.26435e-06      83.3166   0.00693045 -2.80354e-06      69.9169   0.00358447  -1.5811e-06
